region,city,country,startYear,endYear,trials,deaths,deathsPostAppeal,latitude,longitude
Parlement of Paris,Paris,France,1564,1570,28,8,1,48.8566101,2.3514992
Parlement of Paris,Paris,France,1571,1580,93,30,12,48.8566101,2.3514992
Parlement of Paris,Paris,France,1581,1590,210,109,26,48.8566101,2.3514992
Parlement of Paris,Paris,France,1591,1600,173,102,35,48.8566101,2.3514992
Parlement of Paris,Paris,France,1601,1610,237,86,23,48.8566101,2.3514992
Parlement of Paris,Paris,France,1611,1620,196,80,9,48.8566101,2.3514992
Parlement of Paris,Paris,France,1621,1630,150,49,7,48.8566101,2.3514992
Parlement of Paris,Paris,France,1631,1640,36,10,2,48.8566101,2.3514992
Essex Assizes,Essex,England,1560,1569,16,,,51.7967047,0.579338882096011
Essex Assizes,Essex,England,1570,1579,66,,,51.7967047,0.579338882096011
Essex Assizes,Essex,England,1580,1589,123,,,51.7967047,0.579338882096011
Essex Assizes,Essex,England,1590,1599,72,,,51.7967047,0.579338882096011
Essex Assizes,Essex,England,1600,1609,44,,,51.7967047,0.579338882096011
Essex Assizes,Essex,England,1610,1619,34,,,51.7967047,0.579338882096011
Essex Assizes,Essex,England,1620,1629,22,,,51.7967047,0.579338882096011
Essex Assizes,Essex,England,1630,1639,14,,,51.7967047,0.579338882096011
Essex Assizes,Essex,England,1640,1649,63,,,51.7967047,0.579338882096011
Essex Assizes,Essex,England,1650,1659,20,,,51.7967047,0.579338882096011
Essex Assizes,Essex,England,1660,1669,8,,,51.7967047,0.579338882096011
Essex Assizes,Essex,England,1670,1679,6,,,51.7967047,0.579338882096011
Home Circuit,London,England,1560,1569,38,,,51.5073219,-0.1276473
Home Circuit,London,England,1570,1579,99,,,51.5073219,-0.1276473
Home Circuit,London,England,1580,1589,166,,,51.5073219,-0.1276473
Home Circuit,London,England,1590,1599,127,,,51.5073219,-0.1276473
Home Circuit,London,England,1600,1609,76,,,51.5073219,-0.1276473
Home Circuit,London,England,1610,1619,45,,,51.5073219,-0.1276473
Home Circuit,London,England,1620,1629,20,,,51.5073219,-0.1276473
Home Circuit,London,England,1630,1639,19,,,51.5073219,-0.1276473
Home Circuit,London,England,1640,1649,72,,,51.5073219,-0.1276473
Home Circuit,London,England,1650,1659,62,,,51.5073219,-0.1276473
Home Circuit,London,England,1660,1669,17,,,51.5073219,-0.1276473
Home Circuit,London,England,1670,1679,18,,,51.5073219,-0.1276473
Home Circuit,London,England,1680,1689,8,,,51.5073219,-0.1276473
Home Circuit,London,England,1690,1699,6,,,51.5073219,-0.1276473
Home Circuit,London,England,1700,1709,1,,,51.5073219,-0.1276473
Hungary,,Hungary,1560,1569,7,5,,47.1817585,19.5060937
Hungary,,Hungary,1570,1579,7,2,,47.1817585,19.5060937
Hungary,,Hungary,1580,1589,18,11,,47.1817585,19.5060937
Hungary,,Hungary,1590,1599,9,4,,47.1817585,19.5060937
Hungary,,Hungary,1600,1609,12,7,,47.1817585,19.5060937
Hungary,,Hungary,1610,1619,13,10,,47.1817585,19.5060937
Hungary,,Hungary,1620,1629,42,15,,47.1817585,19.5060937
Hungary,,Hungary,1630,1639,38,8,,47.1817585,19.5060937
Hungary,,Hungary,1640,1649,49,5,,47.1817585,19.5060937
Hungary,,Hungary,1650,1659,55,19,,47.1817585,19.5060937
Hungary,,Hungary,1660,1669,60,15,,47.1817585,19.5060937
Hungary,,Hungary,1670,1679,55,25,,47.1817585,19.5060937
Hungary,,Hungary,1680,1689,45,20,,47.1817585,19.5060937
Hungary,,Hungary,1690,1699,100,38,,47.1817585,19.5060937
Hungary,,Hungary,1700,1709,103,43,,47.1817585,19.5060937
Hungary,,Hungary,1710,1719,218,59,,47.1817585,19.5060937
Hungary,,Hungary,1720,1729,225,60,,47.1817585,19.5060937
Hungary,,Hungary,1730,1739,178,37,,47.1817585,19.5060937
Hungary,,Hungary,1740,1749,181,50,,47.1817585,19.5060937
Hungary,,Hungary,1750,1759,141,21,,47.1817585,19.5060937
Hungary,,Hungary,1760,1769,49,2,,47.1817585,19.5060937
Hungary,,Hungary,1770,1779,10,3,,47.1817585,19.5060937
Finland,,Finland,1520,1529,1,0,,63.2467777,25.9209164
Finland,,Finland,1530,1539,0,0,,63.2467777,25.9209164
Finland,,Finland,1540,1549,8,0,,63.2467777,25.9209164
Finland,,Finland,1550,1559,12,1,,63.2467777,25.9209164
Finland,,Finland,1560,1569,16,4,,63.2467777,25.9209164
Finland,,Finland,1570,1579,22,3,,63.2467777,25.9209164
Finland,,Finland,1580,1589,15,2,,63.2467777,25.9209164
Finland,,Finland,1590,1599,8,1,,63.2467777,25.9209164
Finland,,Finland,1600,1609,7,2,,63.2467777,25.9209164
Finland,,Finland,1610,1619,6,0,,63.2467777,25.9209164
Finland,,Finland,1620,1629,22,3,,63.2467777,25.9209164
Finland,,Finland,1630,1639,27,2,,63.2467777,25.9209164
Finland,,Finland,1640,1649,66,11,,63.2467777,25.9209164
Finland,,Finland,1650,1659,73,10,,63.2467777,25.9209164
Finland,,Finland,1660,1669,87,25,,63.2467777,25.9209164
Finland,,Finland,1670,1679,157,41,,63.2467777,25.9209164
Finland,,Finland,1680,1689,121,9,,63.2467777,25.9209164
Finland,,Finland,1690,1699,62,1,,63.2467777,25.9209164
Estonia,,Estonia,1520,1529,1,1,,58.7523778,25.3319078
Estonia,,Estonia,1530,1539,1,1,,58.7523778,25.3319078
Estonia,,Estonia,1540,1549,5,5,,58.7523778,25.3319078
Estonia,,Estonia,1550,1559,0,0,,58.7523778,25.3319078
Estonia,,Estonia,1560,1569,0,0,,58.7523778,25.3319078
Estonia,,Estonia,1570,1579,0,0,,58.7523778,25.3319078
Estonia,,Estonia,1580,1589,7,5,,58.7523778,25.3319078
Estonia,,Estonia,1590,1599,11,0,,58.7523778,25.3319078
Estonia,,Estonia,1600,1609,6,1,,58.7523778,25.3319078
Estonia,,Estonia,1610,1619,22,18,,58.7523778,25.3319078
Estonia,,Estonia,1620,1629,14,8,,58.7523778,25.3319078
Estonia,,Estonia,1630,1639,25,4,,58.7523778,25.3319078
Estonia,,Estonia,1640,1649,39,10,,58.7523778,25.3319078
Estonia,,Estonia,1650,1659,10,1,,58.7523778,25.3319078
Estonia,,Estonia,1660,1669,10,4,,58.7523778,25.3319078
Estonia,,Estonia,1670,1679,8,1,,58.7523778,25.3319078
Estonia,,Estonia,1680,1689,8,3,,58.7523778,25.3319078
Estonia,,Estonia,1690,1699,28,3,,58.7523778,25.3319078
Estonia,,Estonia,1700,1709,5,0,,58.7523778,25.3319078
Estonia,,Estonia,1710,1719,0,0,,58.7523778,25.3319078
Estonia,,Estonia,1720,1729,5,0,,58.7523778,25.3319078
