Region,City,Country,Start Year,End Year,Trials,Deaths,Deaths Post-Appeal
Parlement of Paris,Paris,France,1564,1570,28,8,1
Parlement of Paris,Paris,France,1571,1580,93,30,12
Parlement of Paris,Paris,France,1581,1590,210,109,26
Parlement of Paris,Paris,France,1591,1600,173,102,35
Parlement of Paris,Paris,France,1601,1610,237,86,23
Parlement of Paris,Paris,France,1611,1620,196,80,9
Parlement of Paris,Paris,France,1621,1630,150,49,7
Parlement of Paris,Paris,France,1631,1640,36,10,2
Essex Assizes,Essex,England,1560,1569,16,,
Essex Assizes,Essex,England,1570,1579,66,,
Essex Assizes,Essex,England,1580,1589,123,,
Essex Assizes,Essex,England,1590,1599,72,,
Essex Assizes,Essex,England,1600,1609,44,,
Essex Assizes,Essex,England,1610,1619,34,,
Essex Assizes,Essex,England,1620,1629,22,,
Essex Assizes,Essex,England,1630,1639,14,,
Essex Assizes,Essex,England,1640,1649,63,,
Essex Assizes,Essex,England,1650,1659,20,,
Essex Assizes,Essex,England,1660,1669,8,,
Essex Assizes,Essex,England,1670,1679,6,,
Home Circuit,London,England,1560,1569,38,,
Home Circuit,London,England,1570,1579,99,,
Home Circuit,London,England,1580,1589,166,,
Home Circuit,London,England,1590,1599,127,,
Home Circuit,London,England,1600,1609,76,,
Home Circuit,London,England,1610,1619,45,,
Home Circuit,London,England,1620,1629,20,,
Home Circuit,London,England,1630,1639,19,,
Home Circuit,London,England,1640,1649,72,,
Home Circuit,London,England,1650,1659,62,,
Home Circuit,London,England,1660,1669,17,,
Home Circuit,London,England,1670,1679,18,,
Home Circuit,London,England,1680,1689,8,,
Home Circuit,London,England,1690,1699,6,,
Home Circuit,London,England,1700,1709,1,,
Neuchatel District: Boudry,Boudry,Switzerland,1573,1636,63,41,
Neuchatel District: La Côte,La Côte-aux-Fées,Switzerland,1568,1660,47,29,
Neuchatel District: Thielle,Thielle,Switzerland,1619,1667,50,43,
Neuchatel District: Valangin,Valangin,Switzerland,1607,1667,63,41,
Neuchatel District: Val de Travers,Val de Travers,Switzerland,1580,1677,57,33,
Pays de Vaud District: Lausanne,Lausanne,Switzerland,1537,1630,86,77,
Pays de Vaud District: Moudon,Moudon,Switzerland,1575,1600,16,13,
Bishopric of Basel: Ajoie,Porrentruy,Switzerland,1574,1659,150,80,
Bishopric of Basel: St. Ursanne,Saint-Ursanne,Switzerland,1571,1670,41,20,
Fribourg,Fribourg,Switzerland,1607,1683,162,53,
Republic of Geneva,Geneva,Switzerland,1537,1681,318,68,
Canton of Zurich,Zurich,Switzerland,1533,1714,220,74,
Canton of Lucerne,Lucerne,Switzerland,1550,1675,505,254,
Department of the Nord,Lille,France,1542,1679,187,90,
County of Namur,Namur,Belgium,1509,1646,270,144,
Channel Islands,Guernsey,,1562,1736,144,66,
Hungary,,Hungary,1560,1569,7,5,
Hungary,,Hungary,1570,1579,7,2,
Hungary,,Hungary,1580,1589,18,11,
Hungary,,Hungary,1590,1599,9,4,
Hungary,,Hungary,1600,1609,12,7,
Hungary,,Hungary,1610,1619,13,10,
Hungary,,Hungary,1620,1629,42,15,
Hungary,,Hungary,1630,1639,38,8,
Hungary,,Hungary,1640,1649,49,5,
Hungary,,Hungary,1650,1659,55,19,
Hungary,,Hungary,1660,1669,60,15,
Hungary,,Hungary,1670,1679,55,25,
Hungary,,Hungary,1680,1689,45,20,
Hungary,,Hungary,1690,1699,100,38,
Hungary,,Hungary,1700,1709,103,43,
Hungary,,Hungary,1710,1719,218,59,
Hungary,,Hungary,1720,1729,225,60,
Hungary,,Hungary,1730,1739,178,37,
Hungary,,Hungary,1740,1749,181,50,
Hungary,,Hungary,1750,1759,141,21,
Hungary,,Hungary,1760,1769,49,2,
Hungary,,Hungary,1770,1779,10,3,
Finland,,Finland,1520,1529,1,0,
Finland,,Finland,1530,1539,0,0,
Finland,,Finland,1540,1549,8,0,
Finland,,Finland,1550,1559,12,1,
Finland,,Finland,1560,1569,16,4,
Finland,,Finland,1570,1579,22,3,
Finland,,Finland,1580,1589,15,2,
Finland,,Finland,1590,1599,8,1,
Finland,,Finland,1600,1609,7,2,
Finland,,Finland,1610,1619,6,0,
Finland,,Finland,1620,1629,22,3,
Finland,,Finland,1630,1639,27,2,
Finland,,Finland,1640,1649,66,11,
Finland,,Finland,1650,1659,73,10,
Finland,,Finland,1660,1669,87,25,
Finland,,Finland,1670,1679,157,41,
Finland,,Finland,1680,1689,121,9,
Finland,,Finland,1690,1699,62,1,
Estonia,,Estonia,1520,1529,1,1,
Estonia,,Estonia,1530,1539,1,1,
Estonia,,Estonia,1540,1549,5,5,
Estonia,,Estonia,1550,1559,0,0,
Estonia,,Estonia,1560,1569,0,0,
Estonia,,Estonia,1570,1579,0,0,
Estonia,,Estonia,1580,1589,7,5,
Estonia,,Estonia,1590,1599,11,0,
Estonia,,Estonia,1600,1609,6,1,
Estonia,,Estonia,1610,1619,22,18,
Estonia,,Estonia,1620,1629,14,8,
Estonia,,Estonia,1630,1639,25,4,
Estonia,,Estonia,1640,1649,39,10,
Estonia,,Estonia,1650,1659,10,1,
Estonia,,Estonia,1660,1669,10,4,
Estonia,,Estonia,1670,1679,8,1,
Estonia,,Estonia,1680,1689,8,3,
Estonia,,Estonia,1690,1699,28,3,
Estonia,,Estonia,1700,1709,5,0,
Estonia,,Estonia,1710,1719,0,0,
Estonia,,Estonia,1720,1729,5,0,
